Phrase,WS,QWS,BWS,Profile,Timestamp
чистовые косметические,14,0,0,vfefyodorov,2025-11-14T22:50:07.743133
отделка капитальные,338,0,0,vfefyodorov,2025-11-14T22:50:07.743133
отделочные капитальные,236,0,0,vfefyodorov,2025-11-14T22:50:07.743133
черновые косметические,35,0,0,vfefyodorov,2025-11-14T22:50:07.743133
малярные косметические,66,0,0,vfefyodorov,2025-11-14T22:50:07.743133
