Phrase,WS,QWS,BWS,Profile,Timestamp
покрасочные капитальные,3,0,0,volkovsvolkow,2025-11-14T22:50:00.216742
финишные капитальные,9,0,0,volkovsvolkow,2025-11-14T22:50:00.216742
черновые капитальные,50,0,0,volkovsvolkow,2025-11-14T22:50:00.216742
чистовые капитальные,44,0,0,volkovsvolkow,2025-11-14T22:50:00.216742
окрасочные капитальные,16,0,0,volkovsvolkow,2025-11-14T22:50:00.216742
