Phrase,WS,QWS,BWS,Profile,Timestamp
покрасочные капитальные,3,0,0,volkovsvolkow,2025-11-14T22:55:06.065427
чистовые капитальные,44,0,0,volkovsvolkow,2025-11-14T22:55:06.065427
окрасочные капитальные,16,0,0,volkovsvolkow,2025-11-14T22:55:06.065427
черновые капитальные,50,0,0,volkovsvolkow,2025-11-14T22:55:06.065427
финишные капитальные,9,0,0,volkovsvolkow,2025-11-14T22:55:06.065427
