Phrase,WS,QWS,BWS,Profile,Timestamp
черновые малярные,9,0,0,kuznepetya,2025-11-14T22:55:06.274068
финишные малярные,93,0,0,kuznepetya,2025-11-14T22:55:06.274068
покрасочные малярные,223,0,0,kuznepetya,2025-11-14T22:55:06.274068
окрасочные малярные,196,0,0,kuznepetya,2025-11-14T22:55:06.274068
чистовые малярные,7,0,0,kuznepetya,2025-11-14T22:55:06.274068
